item_id,product_name,category,occasion,body_type_fit,color,price,trend_score,sustainability_score,audience,target_market,fit,pattern,material
10017413,DKNY Unisex Black & Grey Printed Medium Trolley Bag,accessory,casual,all,Black,11745,5,5,adult,unisex,unknown,printed,unknown
10016283,EthnoVogue Women Beige & Grey Made to Measure Custom Made Kurta Set with Jacket,top,casual,pear,Beige,5810,5,5,adult,women,unknown,solid,unknown
10009781,SPYKAR Women Pink Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,bottom,casual,pear,Pink,899,6,5,adult,women,skinny,unknown,unknown
10015921,Raymond Men Blue Self-Design Single-Breasted Bandhgala Suit,bottom,casual,all,Blue,5599,5,5,adult,men,unknown,unknown,unknown
10017833,Parx Men Brown & Off-White Slim Fit Printed Casual Shirt,top,casual,all,White,759,5,5,adult,men,slim,printed,unknown
10014361,SHOWOFF Men Brown Solid Slim Fit Regular Shorts,bottom,casual,all,Brown,791,5,5,adult,men,slim,solid,unknown
10017869,Parx Men Blue Slim Fit Checked Casual Shirt,top,casual,all,Blue,719,5,5,adult,men,slim,checked,unknown
10009695,SPYKAR Women Burgundy Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,bottom,casual,pear,Burgundy,899,5,5,adult,women,skinny,unknown,unknown
10000571,Parx Men Brown Tapered Fit Solid Regular Trousers,bottom,casual,all,Red,664,5,5,adult,men,unknown,solid,unknown
10017421,DKNY Unisex Black Large Trolley Bag,accessory,casual,all,Black,17360,5,5,adult,unisex,unknown,solid,unknown
10000911,Kenneth Cole Women Navy Blue Solid Backpack,accessory,casual,all,Blue,2463,5,5,adult,women,unknown,solid,unknown
10000245,Parx Men Green Printed Polo Collar T-shirt,top,casual,all,Green,629,5,5,adult,men,unknown,printed,unknown
10016727,Vishudh Women Maroon Printed Kurta with Palazzos,top,casual,all,Maroon,892,5,5,adult,women,unknown,printed,unknown
10017749,Parx Men Red Slim Fit Checked Casual Shirt,top,casual,all,Red,752,5,5,adult,men,slim,checked,unknown
1000795,Being Human Clothing Navy Printed Casual Slim Shirt,top,casual,all,Navy,1079,5,5,adult,unisex,unknown,printed,unknown
10014413,YAK YAK Men Camel Brown Solid Polo Collar T-shirt,top,casual,all,Brown,599,5,5,adult,men,unknown,solid,unknown
10013483,PARFAIT Plus Size Black Striped Non-Wired Lightly Padded T-shirt Bra P5252,top,casual,all,Red,1749,5,5,adult,unisex,unknown,striped,unknown
10001265,Michael Kors Women Sexy Amber Eau de Parfum 100ml,top,casual,all,,7920,5,5,adult,women,unknown,unknown,unknown
10004155,HIGHLANDER Men Mustard & Black Slim Fit Checked Casual Shirt,top,casual,all,Black,699,5,5,adult,men,slim,checked,unknown
10009723,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Ankle Jeans,bottom,casual,all,Blue,1199,5,5,adult,women,skinny,unknown,unknown
10006001,ID Men Tan Brown Fisherman Leather Sandals,footwear,casual,all,Brown,2385,5,5,adult,men,unknown,unknown,leather
10015839,Raymond Men Blue Slim Fit Printed Formal Shirt,top,formal,all,Blue,1079,5,5,adult,men,slim,printed,unknown
10003123,Gini and Jony Boys Navy Blue Regular Fit Solid Casual Shirt,top,casual,all,Blue,699,5,5,kids,men,regular,solid,unknown
10013041,Sera Women Blue Printed Kurta with Palazzos,top,casual,pear,Blue,1437,5,5,adult,women,unknown,solid,unknown
10017831,Parx Men Blue Slim Fit Printed Casual Shirt,top,casual,all,Blue,779,5,5,adult,men,slim,printed,unknown
10006029,ID Men Brown Leather Formal Slip-Ons,footwear,formal,all,Brown,956,5,5,adult,men,unknown,textured,leather
10005903,Difference of Opinion Men Navy Blue Solid Round Neck T-shirt With Side Strip Detail,top,casual,all,Blue,499,5,5,adult,men,unknown,solid,unknown
10017781,Parx Men Blue Slim Fit Checked Casual Shirt,top,casual,all,Blue,769,5,5,adult,men,slim,checked,unknown
10002151,Michael Kors Extreme Blue For Men Edt 70 ml,top,casual,all,Blue,4275,5,5,adult,men,unknown,unknown,unknown
10015989,Tokyo Talkies Women Off-White & Pink Floral Print Fit and Flare Dress,one_piece,casual,pear,White,499,5,5,adult,women,unknown,printed,unknown
10004151,HIGHLANDER Men Navy Blue & Maroon Slim Fit Checked Casual Shirt,top,casual,all,Blue,699,5,5,adult,men,slim,checked,unknown
10009621,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Low Distress Ankle-length Stretchable Jeans,bottom,casual,all,Blue,1124,5,5,adult,women,skinny,unknown,unknown
10009681,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Ankle-Length Stretchable Jeans,bottom,casual,all,Blue,989,5,5,adult,women,skinny,unknown,unknown
10001251,Lara Karen Women Black Solid Maxi Satin Skirt,bottom,casual,pear,Black,1999,5,5,adult,women,unknown,solid,unknown
10003199,Gini and Jony Girls Yellow Fit and Flare Embellished Dress,one_piece,casual,pear,Yellow,1619,5,5,kids,women,unknown,unknown,unknown
10015163,Urban Dog Men Grey Solid Regular Fit Sports Shorts,bottom,casual,all,Grey,399,5,5,adult,men,regular,solid,unknown
10013541,PARFAIT Plus Size Blue Solid Underwired Lightly Padded T-shirt Bra P5441,top,casual,all,Blue,1609,5,5,adult,unisex,unknown,solid,unknown
10002833,VASTRAMAY Boys Navy Blue & Maroon Solid Kurta with Dhoti Pants & Jacket,bottom,casual,all,Blue,1469,5,5,kids,men,unknown,solid,unknown
10005915,Difference of Opinion Men Grey Melange Printed Round Neck T-shirt,top,casual,all,Grey,499,5,5,adult,men,unknown,printed,unknown
10002707,Campus Sutra Men White & Blue Regular Fit Colourblocked Casual Shirt,top,casual,all,Blue,479,5,5,adult,men,regular,unknown,unknown
10012433,FIDO DIDO Men White Printed Round Neck T-shirt,top,casual,all,White,449,5,5,adult,men,unknown,printed,unknown
10016755,Vishudh Women Off-White & Green Floral Print A-Line Dress,one_piece,casual,pear,Green,1299,5,5,adult,women,unknown,printed,unknown
10015159,Urban Dog Men Grey Printed Regular Fit Sports Shorts,bottom,casual,all,Grey,399,5,5,adult,men,regular,printed,unknown
10006073,ID Men Brown Leather Loafers,footwear,casual,all,Brown,1218,5,5,adult,men,unknown,unknown,leather
10013491,PARFAIT Plus Size Red Solid Underwired Lightly Padded T-shirt Bra P5391,top,casual,all,Red,1609,5,5,adult,unisex,unknown,solid,unknown
10009773,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Mildly Distressed Stretchable Cropped Jeans,bottom,casual,all,Blue,1214,6,5,adult,women,skinny,unknown,unknown
10009643,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,bottom,casual,all,Blue,899,6,5,adult,women,skinny,unknown,unknown
10015831,Raymond Men Blue Regular Fit Self Design Formal Shirt,top,formal,all,Blue,1154,5,5,adult,men,regular,self_design,unknown
10014675,BuckleUp Women Multicoloured Printed Belt,accessory,casual,all,Red,449,5,5,adult,women,unknown,printed,unknown
10003179,Gini and Jony Girls Blue Solid Jacket,top,casual,all,Blue,1189,5,5,kids,women,unknown,solid,unknown
10017017,Campus Sutra Men Black Solid Round Neck Faux Leather T-shirt,top,casual,all,Black,699,5,5,adult,men,unknown,solid,leather
10003341,Gini and Jony Girls Peach-Coloured Floral Embroidered Fit & Flare Dress,one_piece,casual,pear,Red,1484,5,5,kids,women,unknown,floral,unknown
10017923,Parx Men Blue Slim Fit Checked Casual Shirt,top,casual,all,Blue,859,5,5,adult,men,slim,checked,unknown
10017595,Parx Men Blue Slim Fit Checked Casual Shirt,top,casual,all,Blue,939,5,5,adult,men,slim,checked,unknown
10007835,her by invictus Women Red Cushioned Loafers,footwear,casual,all,Red,1299,5,5,adult,women,unknown,unknown,unknown
10007811,her by invictus Women Tan Brown Cushioned Slip-on Shoes,footwear,casual,all,Brown,949,5,5,adult,women,unknown,unknown,unknown
10017427,DKNY Unisex Black Medium Trolley Bag,accessory,casual,all,Black,13320,5,5,adult,unisex,unknown,solid,unknown
10017899,Parx Men Yellow & Off-White Slim Fit Checked Casual Shirt,top,casual,all,Yellow,647,5,5,adult,men,slim,checked,unknown
10017671,Parx Men Blue & Off-White Slim Fit Printed Casual Shirt,top,casual,all,Blue,779,5,5,adult,men,slim,printed,unknown
10007595,her by invictus Women Green Cushioned Slip-Ons,footwear,casual,all,Green,1999,5,5,adult,women,unknown,unknown,unknown
10004343,Park Avenue Women Blue Skinny Fit Mid-Rise Clean Look Jeans,bottom,casual,all,Blue,569,5,5,adult,women,skinny,unknown,unknown
10002181,U.S. Polo Assn. Denim Co. Men Navy Blue Solid Bomber Jacket,top,casual,all,Blue,3499,5,5,adult,men,unknown,solid,denim
10003387,Gini and Jony Girls Navy Blue Washed Denim Jacket,top,casual,all,Blue,1329,5,5,kids,women,unknown,unknown,denim
10017211,Kazo Women Yellow Floral Print Shirt Dress,one_piece,casual,all,Yellow,1345,5,5,adult,women,unknown,printed,unknown
10003299,Gini and Jony Boys Red & Grey Melange Solid Varsity Jacket with Applique Detail,top,casual,all,Red,649,5,5,kids,men,unknown,solid,unknown
10017835,Parx Men Blue Slim Fit Checked Casual Shirt,top,casual,all,Blue,839,5,5,adult,men,slim,checked,unknown
10017771,Parx Men Black & Red Slim Fit Checked Casual Shirt,top,casual,all,Red,577,5,5,adult,men,slim,checked,unknown
10002825,Stylo Bug Girls Turquoise Blue A-Line Dress,one_piece,casual,pear,Blue,698,5,5,kids,women,unknown,printed,unknown
10015997,Tokyo Talkies Women Black & Red Floral Print Fit and Flare Dress,one_piece,casual,pear,Red,499,5,5,adult,women,unknown,printed,unknown
10013055,Sera Women Black Printed Loose Fit Regular Shorts,bottom,casual,all,Black,547,5,5,adult,women,unknown,printed,unknown
10003213,Gini and Jony Boys Black & Grey Embroidered Regular Fit Shorts,bottom,casual,all,Red,839,5,5,kids,men,regular,unknown,unknown
10009685,SPYKAR Women Blue Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,bottom,casual,pear,Blue,1214,6,5,adult,women,skinny,unknown,unknown
10012429,FIDO DIDO Men Grey & Black Printed Colourblocked Polo Collar T-shirt,top,casual,all,Black,599,5,5,adult,men,unknown,printed,unknown
10017723,Parx Men Pink Slim Fit Solid Casual Shirt,top,casual,all,Pink,739,5,5,adult,men,slim,solid,unknown
10017855,Parx Men Navy Blue Slim Fit Printed Casual Shirt,top,casual,all,Blue,739,5,5,adult,men,slim,printed,unknown
10013025,Sera Women White Self Design Top,top,casual,all,White,714,5,5,adult,women,unknown,self_design,unknown
10017423,DKNY Unisex Gold & White Printed Cabin Trolley Bag,accessory,casual,all,White,14400,5,5,adult,unisex,unknown,printed,unknown
10000599,Parx Men Khaki Slim Fit Solid Regular Trousers,bottom,casual,all,Khaki,839,5,5,adult,men,slim,solid,unknown
10005937,Difference of Opinion Men Olive Green Printed Round Neck T-shirt,top,casual,all,Green,499,5,5,adult,men,unknown,printed,unknown
10002079,GAS Women Navy Blue Regular Fit Mid-Rise Clean Look Stretchable Jeans,bottom,casual,all,Blue,3595,5,5,adult,women,regular,unknown,unknown
10004165,HIGHLANDER Men Navy Blue & Grey Slim Fit Striped Regular Trousers,bottom,casual,all,Blue,1299,5,5,adult,men,slim,striped,unknown
10013269,WITH Men Black Slim Fit Solid Casual Shirt,top,casual,all,Black,684,5,5,adult,men,slim,solid,unknown
10009637,SPYKAR Women White Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,bottom,casual,pear,White,1999,5,5,adult,women,skinny,unknown,unknown
10017093,ZUSH Plus Size Women Black Regular Fit Mid-Rise Clean Look Jeans,bottom,casual,all,Black,1299,5,5,adult,women,regular,unknown,unknown
10017447,DKNY Unisex Gold & White Printed Large Trolley Bag,accessory,casual,all,White,16225,5,5,adult,unisex,unknown,printed,unknown
10017013,Campus Sutra Men Green & Navy Blue Regular Fit Checked Casual Shirt,top,casual,all,Blue,511,5,5,adult,men,regular,checked,unknown
10017053,Campus Sutra Men Navy & Grey Melange Standard Regular Fit Colourblocked Casual Shirt,top,casual,all,Grey,1299,5,5,adult,men,regular,unknown,unknown
10017599,Parx Men Blue Slim Fit Checked Casual Shirt,top,casual,all,Blue,699,5,5,adult,men,slim,checked,unknown
10001445,Bvlgari Women Omnia Paraiba Eau De Toilette Perfume 65 ml,top,casual,all,,7000,5,5,adult,women,unknown,floral,unknown
10017417,DKNY Unisex Black Large Trolley Bag,accessory,casual,all,Black,13995,5,5,adult,unisex,unknown,textured,unknown
1001423,DressBerry Off-White Sequinned Top,top,casual,all,White,699,5,5,adult,unisex,unknown,unknown,unknown
10017719,Parx Men Blue Slim Fit Checked Casual Shirt,top,casual,all,Blue,734,5,5,adult,men,slim,checked,unknown
10014659,BuckleUp Women Blue Textured Belt,accessory,casual,all,Blue,449,5,5,adult,women,unknown,textured,unknown
10003183,Gini and Jony Boys Black & White Regular Fit Printed Trousers,bottom,casual,all,Black,1049,5,5,kids,men,regular,printed,unknown
10013567,PARFAIT Plus Size Women Lavender Lace Boy Shorts 2805,bottom,casual,all,Lavender,899,5,5,kids,men,unknown,unknown,unknown
10017747,Parx Men Maroon Slim Fit Printed Casual Shirt,top,casual,all,Maroon,717,5,5,adult,men,slim,printed,unknown
10015929,ColorPlus Men Blue Regular Fit Checked Formal Trousers,bottom,formal,all,Blue,1199,5,5,adult,men,regular,checked,unknown
10017913,Parx Men Off-White & Blue Slim Fit Printed Casual Shirt,top,casual,all,Blue,764,5,5,adult,men,slim,printed,unknown
10004129,HIGHLANDER Men Grey Slim Fit Self Design Regular Trousers,bottom,casual,all,Grey,1299,5,5,adult,men,slim,self_design,unknown
10012919,Parx Men Beige Slim Fit Solid Regular Trousers,bottom,casual,all,Beige,919,5,5,adult,men,slim,solid,unknown
10015983,Tokyo Talkies Women Green Solid Top,top,casual,all,Green,699,5,5,adult,women,unknown,solid,unknown
10014677,BuckleUp Women Tan Textured Belt,accessory,casual,all,Red,449,5,5,adult,women,unknown,textured,unknown
10009715,SPYKAR Women Black Alexa Super Skinny Fit High-Rise Clean Look Stretchable Jeans,bottom,casual,pear,Black,1999,5,5,adult,women,skinny,unknown,unknown
10017079,Campus Sutra Men Blue & White Ombre-Dyed Henley Neck T-shirt,top,casual,all,Blue,699,5,5,adult,men,unknown,unknown,unknown
10002675,Allen Solly Woman Women White Printed Top,top,casual,all,White,740,5,5,adult,women,unknown,printed,unknown
10003177,Palm Tree Girls Pink Solid Bomber Jacket,top,casual,all,Pink,1499,5,5,kids,women,unknown,solid,polyester
10013677,PARFAIT Plus Size Purple  Pink Lace Underwired Lightly Padded T-shirt Bra P5581,top,casual,all,Red,1189,5,5,adult,unisex,unknown,unknown,unknown
1001774,Arrow Taupe Tapered Fit Formal Trousers,bottom,formal,all,Red,1169,5,5,adult,unisex,unknown,unknown,unknown
10005885,Difference of Opinion Men Mustard Yellow Solid Round Neck T-shirt with Printed Detailing,top,casual,all,Yellow,499,5,5,adult,men,unknown,solid,unknown
10004169,HIGHLANDER Men Grey & Black Striped Round Neck T-shirt,top,casual,all,Black,699,5,5,adult,men,unknown,striped,unknown
10017441,DKNY Unisex Silver Medium Trolley Bag,accessory,casual,all,Silver,12375,5,5,adult,unisex,unknown,textured,unknown
10016679,Raymond Men Green Printed Polo Collar T-shirt,top,casual,all,Green,944,5,5,adult,men,unknown,printed,unknown
10002341,MANGO Women Black & Yellow Floral Print Layered Top,top,casual,all,Red,1596,5,5,adult,women,unknown,printed,unknown
10004325,Park Avenue Women Maroon Self Design Top,top,casual,all,Maroon,569,5,5,adult,women,unknown,self_design,unknown
10015151,Urban Dog Men Charcoal Black Printed Regular Fit Sports Shorts,bottom,casual,all,Black,399,5,5,adult,men,regular,printed,unknown
10006081,ID Men Beige Solid Leather Mid-Top Flat Boots,footwear,casual,all,Beige,3285,5,5,adult,men,unknown,solid,leather
10017167,Carrera Men Tan Brown Flat Boots,footwear,casual,all,Brown,5299,5,5,adult,men,unknown,unknown,leather
10017031,Campus Sutra Men Red & Black Standard Regular Fit Checked Casual Shirt,top,casual,all,Red,699,5,5,adult,men,regular,checked,unknown
10003277,Gini and Jony Boys Black Regular Fit Solid Chinos,bottom,casual,all,Black,839,5,5,kids,men,regular,solid,unknown
10017439,DKNY Unisex Maroon Solid Leather Backpack with Pouch,accessory,casual,all,Maroon,9765,5,5,adult,unisex,unknown,solid,leather
10000553,Parx Men Khaki Tapered Fit Solid Regular Trousers,bottom,casual,all,Red,804,5,5,adult,men,unknown,solid,unknown
10012373,Raymond Men Maroon Striped Polo Collar T-shirt,top,casual,all,Maroon,999,5,5,adult,men,unknown,striped,unknown
10003051,Gini and Jony Girls Navy Blue Denim Striped Pinafore Dress,one_piece,casual,pear,Blue,1539,5,5,kids,women,unknown,striped,denim
10017847,Parx Men White & Blue Slim Fit Printed Casual Shirt,top,casual,all,Blue,639,5,5,adult,men,slim,printed,unknown
10015167,Urban Dog Men Black Printed Regular Fit Sports Shorts,bottom,casual,all,Black,399,5,5,adult,men,regular,printed,unknown
10017043,Campus Sutra Men Blue Standard Regular Fit Checked Casual Shirt,top,casual,all,Blue,599,5,5,adult,men,regular,checked,unknown
10016271,EthnoVogue Women Coral Pink & Orange Printed Made to Measure Printed Maxi Dress,one_piece,casual,pear,Pink,4573,5,5,adult,women,unknown,printed,unknown
10013487,PARFAIT Plus Size Black Solid Underwired Lightly Padded T-shirt Bra 4812,top,casual,all,Red,1609,5,5,adult,unisex,unknown,solid,unknown
10015985,Tokyo Talkies Women Burgundy Solid Top,top,casual,all,Burgundy,293,5,5,adult,women,unknown,solid,unknown
10017651,Parx Men Blue & Yellow Slim Fit Checked Casual Shirt,top,casual,all,Blue,839,5,5,adult,men,slim,checked,unknown
10017113,ZUSH Plus Size Women Black Regular Fit Mid-Rise Clean Look Jeans,bottom,casual,all,Black,1249,5,5,adult,women,regular,unknown,unknown
10003303,Gini and Jony Boys Navy Blue Slim Fit Printed Regular Trousers,bottom,casual,all,Blue,1189,5,5,kids,men,slim,printed,unknown
10001425,Shoe Couture Women White & Black Applique Detail Sneakers,footwear,casual,all,Black,1214,5,5,adult,women,unknown,unknown,unknown
10017587,Parx Men Red & Blue Slim Fit Checked Casual Shirt,top,casual,all,Blue,779,5,5,adult,men,slim,checked,unknown
10011181,HARBORNBAY Men Navy Blue & Grey Striped Henley Neck T-shirt,top,casual,all,Blue,448,5,5,adult,men,unknown,striped,unknown
10005911,Difference of Opinion Men Black Printed Round Neck T-shirt,top,casual,all,Black,499,5,5,adult,men,unknown,printed,unknown
10009771,SPYKAR Women Blue Alicia Super Skinny Fit Low-Rise Clean Look Stretchable Cropped Jeans,bottom,casual,all,Blue,989,6,5,adult,women,skinny,unknown,unknown
10012909,Parx Men Blue Slim Fit Self Design Regular Trousers,bottom,casual,all,Blue,879,5,5,adult,men,slim,self_design,unknown
10005261,Gini and Jony Boys Navy Blue Dyed Printed Round Neck T-shirt,top,casual,all,Blue,699,5,5,kids,men,unknown,printed,unknown
10003011,Palm Tree Girls Cream-Coloured & Yellow Floral Print A-Line Dress with Belt,one_piece,casual,pear,Red,629,5,5,kids,women,unknown,floral,unknown
10015913,Raymond Men Grey Slim Fit Solid Formal Trousers,bottom,formal,all,Grey,1299,5,5,adult,men,slim,solid,unknown
10003085,Palm Tree Boys White & Grey Printed Polo Collar T-shirt,top,casual,all,White,629,5,5,kids,men,unknown,printed,unknown
10009711,SPYKAR Women Blue Elissa Bootcut High-Rise Clean Look Stretchable Ankle Jeans,bottom,casual,pear,Blue,1099,5,5,adult,women,unknown,unknown,unknown
10015937,Keds Women Multicoloured Iridescent Effect Slip-On Sneakers,footwear,casual,all,Red,3899,5,5,adult,women,unknown,unknown,unknown
10017629,Parx Men Blue Slim Fit Colourblocked Casual Shirt,top,casual,all,Blue,759,5,5,adult,men,slim,unknown,unknown
10004201,Parx Men Grey Solid Sweater,top,casual,all,Grey,944,5,5,adult,men,unknown,solid,unknown
